Search query: ((sensory[Title/Abstract]) AND ( processing[Title/Abstract]) AND ( (auditory[Title/Abstract]) OR (touch[Title/Abstract]) OR (olfaction[Title/Abstract]) OR (multisensory[Title/Abstract]) OR (proprioception[Title/Abstract]) ) ) NOT (vision[Title/Abstract])
Year,Count
2023,247
2022,429
2021,425
2020,441
2019,442
2018,422
2017,391
2016,365
2015,408
2014,377
2013,354
2012,320
2011,287
2010,247
2009,229
2008,187
2007,194
2006,151
2005,138
2004,85
2003,101
2002,81
2001,61
2000,86
1999,71
1998,54
1997,46
1996,50
1995,37
1994,32
1993,42
1992,18
1991,29
1990,27
1989,29
1988,9
1987,16
1986,11
1985,7
1984,11
1983,12
1982,6
1981,7
1980,8
1979,4
1978,3
1977,4
1976,7
1975,1
1972,1
1971,1
